ObjectId,Fiscal_Year,Department,Fund,CATEGORY,Amount,ExpenseRevenue,Fund_Category
6878,2025,Finance,Interdepartmental Service Fund,Labor and Supply Offset,2864296,Expenses,Other Governmental Funds
6879,2025,Finance,Laguna Creek Maint Dist,"Charges, Fees, and Services",240219,Revenues,Other Governmental Funds
6880,2025,Finance,Laguna Creek Maint Dist,Labor and Supply Offset,6013,Expenses,Other Governmental Funds
6881,2025,Finance,Landscaping and Lighting,"Charges, Fees, and Services",20770012,Revenues,Other Governmental Funds
6882,2025,Finance,Landscaping and Lighting,Labor and Supply Offset,520361,Expenses,Other Governmental Funds
6883,2025,Finance,Mack Road PBID,"Charges, Fees, and Services",752038,Revenues,Other Governmental Funds
6884,2025,Finance,Mack Road PBID,Labor and Supply Offset,2726,Expenses,Other Governmental Funds
6885,2025,Finance,Midtown Sacramento PBID,"Charges, Fees, and Services",1897592,Revenues,Other Governmental Funds
6886,2025,Finance,Midtown Sacramento PBID,Labor and Supply Offset,3597,Expenses,Other Governmental Funds
6887,2025,Finance,N Nat Lndscp 99-02,"Charges, Fees, and Services",755688,Revenues,Other Governmental Funds
6888,2025,Finance,N Nat Lndscp 99-02,Labor and Supply Offset,22535,Expenses,Other Governmental Funds
6889,2025,Finance,N Natomas Lands CFD 3,"Charges, Fees, and Services",2885309,Revenues,Other Governmental Funds
6890,2025,Finance,N Natomas Lands CFD 3,Labor and Supply Offset,72136,Expenses,Other Governmental Funds
6891,2025,Finance,N Natomas Transp Mgmt Assoc,"Charges, Fees, and Services",2001774,Revenues,Other Governmental Funds
6892,2025,Finance,N Natomas Transp Mgmt Assoc,Labor and Supply Offset,49137,Expenses,Other Governmental Funds
6893,2025,Finance,Natomas Crossing CFD 2013-01,"Charges, Fees, and Services",31898,Revenues,Other Governmental Funds
6894,2025,Finance,Natomas Crossing CFD 2013-01,Labor and Supply Offset,2094,Expenses,Other Governmental Funds
6895,2025,Finance,Natomas Crossing CFD 2013-01,Other Services and Supplies,0,Expenses,Other Governmental Funds
6896,2025,Finance,Neighborhood Lighting Dist,"Charges, Fees, and Services",47912,Revenues,Other Governmental Funds
6897,2025,Finance,Neighborhood Lighting Dist,Labor and Supply Offset,3455,Expenses,Other Governmental Funds
6898,2025,Finance,Neighborhood Park Maint CFD,"Charges, Fees, and Services",2195282,Revenues,Other Governmental Funds
6899,2025,Finance,Neighborhood Park Maint CFD,Labor and Supply Offset,54883,Expenses,Other Governmental Funds
6900,2025,Finance,Neighborhood Water Quality Dist,"Charges, Fees, and Services",88478,Revenues,Other Governmental Funds
6901,2025,Finance,Neighborhood Water Quality Dist,Labor and Supply Offset,4428,Expenses,Other Governmental Funds
6902,2025,Finance,NNFP Drainage Fee Fund,Multi-Year Operating Projects,400000,Expenses,Other Governmental Funds
6903,2025,Finance,NNFP Public Facilities Fee Fund,Multi-Year Operating Projects,150000,Expenses,Other Governmental Funds
6904,2025,Finance,NNFP Public Land Acquisition Fee,Multi-Year Operating Projects,90000,Expenses,Other Governmental Funds
6905,2025,Finance,NNFP Reg Park Land Acquisition,Multi-Year Operating Projects,15000,Expenses,Other Governmental Funds
6906,2025,Finance,NNFP Transit Fee Fund,Multi-Year Operating Projects,15000,Expenses,Other Governmental Funds
6907,2025,Finance,Northside Subdiv Maint Dist,"Charges, Fees, and Services",16631,Revenues,Other Governmental Funds
6908,2025,Finance,Northside Subdiv Maint Dist,Labor and Supply Offset,1683,Expenses,Other Governmental Funds
6909,2025,Finance,NW Land Park CFD 2013-02,"Charges, Fees, and Services",251652,Revenues,Other Governmental Funds
6910,2025,Finance,NW Land Park CFD 2013-02,Labor and Supply Offset,6211,Expenses,Other Governmental Funds
6911,2025,Finance,Oak Park PBID,"Charges, Fees, and Services",357386,Revenues,Other Governmental Funds
6912,2025,Finance,Oak Park PBID,Labor and Supply Offset,2757,Expenses,Other Governmental Funds
6913,2025,Finance,Old Sacto Maint Dist,"Charges, Fees, and Services",70060,Revenues,Other Governmental Funds
6914,2025,Finance,Old Sacto Maint Dist,Labor and Supply Offset,3341,Expenses,Other Governmental Funds
6915,2025,Finance,Parkebridge CFD 2014-07,"Charges, Fees, and Services",237000,Revenues,Other Governmental Funds
6916,2025,Finance,Parkebridge CFD 2014-07,Labor and Supply Offset,5577,Expenses,Other Governmental Funds
6917,2025,Finance,Power Inn Area Prop and Business,"Charges, Fees, and Services",615386,Revenues,Other Governmental Funds
6918,2025,Finance,Power Inn Area Prop and Business,Labor and Supply Offset,3281,Expenses,Other Governmental Funds
6919,2025,Finance,Power Inn Rd Md 2003-01,"Charges, Fees, and Services",15024,Revenues,Other Governmental Funds
6920,2025,Finance,Power Inn Rd Md 2003-01,Labor and Supply Offset,1179,Expenses,Other Governmental Funds
6921,2025,Finance,Railyards Impact Fee Fund,"Charges, Fees, and Services",50000,Revenues,Other Governmental Funds
6922,2025,Finance,Railyards Impact Fee Fund,Multi-Year Operating Projects,25000,Expenses,Other Governmental Funds
6923,2025,Finance,Railyards Maint CFD No 2014-04,"Charges, Fees, and Services",250000,Revenues,Other Governmental Funds
6924,2025,Finance,Railyards Maint CFD No 2014-04,Labor and Supply Offset,5748,Expenses,Other Governmental Funds
6925,2025,Finance,River District Impact Fee Fund,Multi-Year Operating Projects,125000,Expenses,Other Governmental Funds
6926,2025,Finance,Sac Services CFD 2018-05,"Charges, Fees, and Services",304172,Revenues,Other Governmental Funds
6927,2025,Finance,Sac Services CFD 2018-05,Labor and Supply Offset,6909,Expenses,Other Governmental Funds
6928,2025,Finance,Sac Tourism Marketing District,Labor and Supply Offset,72908,Expenses,Other Governmental Funds
6929,2025,Finance,SacMaintCFD2014-04 Annex Areas,"Charges, Fees, and Services",277961,Revenues,Other Governmental Funds
6930,2025,Finance,SacMaintCFD2014-04 Annex Areas,Labor and Supply Offset,10855,Expenses,Other Governmental Funds
6931,2025,Finance,SacMaintCFD2014-04 Area 01,"Charges, Fees, and Services",309968,Revenues,Other Governmental Funds
6932,2025,Finance,SacMaintCFD2014-04 Area 01,Labor and Supply Offset,7775,Expenses,Other Governmental Funds
6933,2025,Finance,Stockton Blvd PBID,"Charges, Fees, and Services",447745,Revenues,Other Governmental Funds
6934,2025,Finance,Stockton Blvd PBID,Labor and Supply Offset,2792,Expenses,Other Governmental Funds
6935,2025,Finance,Subdiv Lndscpng Maint Dist,"Charges, Fees, and Services",351473,Revenues,Other Governmental Funds
6936,2025,Finance,Subdiv Lndscpng Maint Dist,Labor and Supply Offset,14270,Expenses,Other Governmental Funds
6937,2025,Finance,Sutter Business Imprvmt Area,"Charges, Fees, and Services",220000,Revenues,Other Governmental Funds
6938,2025,Finance,Sutter Business Imprvmt Area,Other Services and Supplies,220000,Expenses,Other Governmental Funds
6939,2025,Finance,The River District PBID,"Charges, Fees, and Services",751570,Revenues,Other Governmental Funds
6940,2025,Finance,The River District PBID,Labor and Supply Offset,2917,Expenses,Other Governmental Funds
6941,2025,Finance,Township 9 CFD No. 2012-06,"Charges, Fees, and Services",22000,Revenues,Other Governmental Funds
6942,2025,Finance,Township 9 CFD No. 2012-06,Labor and Supply Offset,1751,Expenses,Other Governmental Funds
6943,2025,Finance,Village Garden N.-Mtce Dist #1,"Charges, Fees, and Services",40120,Revenues,Other Governmental Funds
6944,2025,Finance,Village Garden N.-Mtce Dist #1,Labor and Supply Offset,1880,Expenses,Other Governmental Funds
6945,2025,Finance,Willowcreek Assmnt Md,"Charges, Fees, and Services",90000,Revenues,Other Governmental Funds
6946,2025,Finance,Willowcreek Assmnt Md,Labor and Supply Offset,4283,Expenses,Other Governmental Funds
6947,2025,Finance,Willowcreek Lndscpng CFD,"Charges, Fees, and Services",132460,Revenues,Other Governmental Funds
6948,2025,Finance,Willowcreek Lndscpng CFD,Labor and Supply Offset,5645,Expenses,Other Governmental Funds
6949,2025,Fire,General Fund,"Charges, Fees, and Services",48701800,Revenues,Fund Total
6950,2025,Fire,General Fund,City Property,489538,Expenses,Fund Total
6951,2025,Fire,General Fund,Employee Services,184557488,Expenses,Fund Total
6952,2025,Fire,General Fund,Intergovernmental,11400000,Revenues,Fund Total
6953,2025,Fire,General Fund,Labor and Supply Offset,-7566593,Expenses,Fund Total
6954,2025,Fire,General Fund,Licenses and Permits,3213200,Revenues,Fund Total
6955,2025,Fire,General Fund,Multi-Year Operating Projects,1286444,Expenses,Fund Total
6956,2025,Fire,General Fund,Other Services and Supplies,30209909,Expenses,Fund Total
6957,2025,Fire,Measure U Fund,City Property,32500,Expenses,Fund Total
6958,2025,Fire,Measure U Fund,Employee Services,2890457,Expenses,Fund Total
6959,2025,Fire,Measure U Fund,Labor and Supply Offset,6368957,Expenses,Fund Total
6960,2025,Fire,Measure U Fund,Other Services and Supplies,1038554,Expenses,Fund Total
6961,2025,Fire,Risk Mgmt Fund,Labor and Supply Offset,500000,Expenses,Risk Management
6962,2025,Human Resources,Fleet Management Fund,Labor and Supply Offset,16000,Expenses,Internal Service Funds
6963,2025,Human Resources,General Fund,"Charges, Fees, and Services",80000,Revenues,Fund Total
6964,2025,Human Resources,General Fund,City Property,10200,Expenses,Fund Total
6965,2025,Human Resources,General Fund,Employee Services,7081241,Expenses,Fund Total
6966,2025,Human Resources,General Fund,Labor and Supply Offset,-2434297,Expenses,Fund Total
6967,2025,Human Resources,General Fund,Multi-Year Operating Projects,82250,Expenses,Fund Total
6968,2025,Human Resources,General Fund,Other Services and Supplies,904281,Expenses,Fund Total
6969,2025,Human Resources,Interdepartmental Service Fund,Labor and Supply Offset,1763967,Expenses,Other Governmental Funds
6970,2025,Human Resources,Marina Fund,Labor and Supply Offset,4000,Expenses,Other Governmental Funds
6971,2025,Human Resources,Measure U Fund,Employee Services,483285,Expenses,Fund Total
6972,2025,Human Resources,Measure U Fund,Other Services and Supplies,20000,Expenses,Fund Total
6973,2025,Human Resources,Parking Fund,Labor and Supply Offset,4000,Expenses,Enterprise Funds
6974,2025,Human Resources,Recycling and Solid Waste,Labor and Supply Offset,168606,Expenses,Enterprise Funds
6975,2025,Human Resources,Risk Mgmt Fund,"Charges, Fees, and Services",250000,Revenues,Risk Management
6976,2025,Human Resources,Risk Mgmt Fund,City Property,15500,Expenses,Risk Management
6977,2025,Human Resources,Risk Mgmt Fund,Employee Services,3217633,Expenses,Risk Management
6978,2025,Human Resources,Risk Mgmt Fund,Labor and Supply Offset,1687640,Expenses,Risk Management
6979,2025,Human Resources,Risk Mgmt Fund,Miscellaneous Revenue,52304997,Revenues,Risk Management
6980,2025,Human Resources,Risk Mgmt Fund,Multi-Year Operating Projects,100000,Expenses,Risk Management
6981,2025,Human Resources,Risk Mgmt Fund,Other Services and Supplies,45010920,Expenses,Risk Management
6982,2025,Human Resources,Worker's Compensation Fund,City Property,17500,Expenses,Risk Management
6983,2025,Human Resources,Worker's Compensation Fund,Employee Services,2904004,Expenses,Risk Management
6984,2025,Human Resources,Worker's Compensation Fund,Labor and Supply Offset,653379,Expenses,Risk Management
6985,2025,Human Resources,Worker's Compensation Fund,Miscellaneous Revenue,18163000,Revenues,Risk Management
6986,2025,Human Resources,Worker's Compensation Fund,Other Services and Supplies,15339342,Expenses,Risk Management
6987,2025,Information Technology,4th R Program,Labor and Supply Offset,16000,Expenses,Other Governmental Funds
6988,2025,Information Technology,Gas Tax 2106,Labor and Supply Offset,14978,Expenses,Other Governmental Funds
6989,2025,Information Technology,Gas Tax 2106,Transfers,173828,Expenses,Other Governmental Funds
6990,2025,Information Technology,General Fund,City Property,369195,Expenses,Fund Total
6991,2025,Information Technology,General Fund,Employee Services,34243986,Expenses,Fund Total
6992,2025,Information Technology,General Fund,Intergovernmental,400000,Revenues,Fund Total
6993,2025,Information Technology,General Fund,Labor and Supply Offset,-7985760,Expenses,Fund Total
6994,2025,Information Technology,General Fund,Multi-Year Operating Projects,318000,Expenses,Fund Total
6995,2025,Information Technology,General Fund,Other Services and Supplies,2294813,Expenses,Fund Total
6996,2025,Information Technology,General Fund,Transfers,-7892883,Expenses,Fund Total
6997,2025,Information Technology,Interdepartmental Service Fund,Labor and Supply Offset,6466909,Expenses,Other Governmental Funds
6998,2025,Information Technology,Measure U Fund,Labor and Supply Offset,431819,Expenses,Fund Total
6999,2025,Information Technology,Measure U Fund,Multi-Year Operating Projects,200000,Expenses,Fund Total
7000,2025,Information Technology,Measure U Fund,Other Services and Supplies,120000,Expenses,Fund Total
7001,2025,Information Technology,Parking Fund,Labor and Supply Offset,1590,Expenses,Enterprise Funds
7002,2025,Information Technology,Parking Fund,Transfers,18449,Expenses,Enterprise Funds
7003,2025,Information Technology,Recycling and Solid Waste,Labor and Supply Offset,106998,Expenses,Enterprise Funds
7004,2025,Information Technology,Recycling and Solid Waste,Transfers,2454133,Expenses,Enterprise Funds
7005,2025,Information Technology,START Fund,Labor and Supply Offset,5000,Expenses,Other Governmental Funds
7006,2025,Information Technology,Storm Drainage Fund,Labor and Supply Offset,2861,Expenses,Enterprise Funds
7007,2025,Information Technology,Storm Drainage Fund,Transfers,1207430,Expenses,Enterprise Funds
7008,2025,Information Technology,Wastewater Fund,Labor and Supply Offset,3321,Expenses,Enterprise Funds
7009,2025,Information Technology,Wastewater Fund,Transfers,1158567,Expenses,Enterprise Funds
7010,2025,Information Technology,Water Fund,Labor and Supply Offset,10350,Expenses,Enterprise Funds
7011,2025,Information Technology,Water Fund,Transfers,1892099,Expenses,Enterprise Funds
7012,2025,Information Technology,Worker's Compensation Fund,Transfers,195301,Expenses,Risk Management
7013,2025,Mayor/Council,General Fund,Employee Services,6535487,Expenses,Fund Total
7014,2025,Mayor/Council,General Fund,Labor and Supply Offset,-1561624,Expenses,Fund Total
7015,2025,Mayor/Council,General Fund,Other Services and Supplies,971308,Expenses,Fund Total
7016,2025,Mayor/Council,Interdepartmental Service Fund,Labor and Supply Offset,1440510,Expenses,Other Governmental Funds
7017,2025,Mayor/Council,Measure U Fund,City Property,2000,Expenses,Fund Total
7018,2025,Mayor/Council,Measure U Fund,Employee Services,1824282,Expenses,Fund Total
7019,2025,Mayor/Council,Measure U Fund,Multi-Year Operating Projects,4950,Expenses,Fund Total
7020,2025,Mayor/Council,Measure U Fund,Other Services and Supplies,49250,Expenses,Fund Total
7021,2025,Non-Appropriated,Delta Shores PF Impact Fees,Licenses and Permits,500000,Revenues,Other Governmental Funds
7022,2025,Non-Appropriated,Delta Shores PF Impact Fees,Other Services and Supplies,500000,Expenses,Other Governmental Funds
7023,2025,Non-Appropriated,Interdepartmental Service Fund,Labor and Supply Offset,-24127942,Expenses,Other Governmental Funds
7024,2025,Non-Appropriated,NNFP Drainage Fee Fund,Licenses and Permits,325000,Revenues,Other Governmental Funds
7025,2025,Office of the City Auditor,General Fund,City Property,5000,Expenses,Fund Total
7026,2025,Office of the City Auditor,General Fund,Employee Services,1900098,Expenses,Fund Total
7027,2025,Office of the City Auditor,General Fund,Labor and Supply Offset,-627844,Expenses,Fund Total
7028,2025,Office of the City Auditor,General Fund,Other Services and Supplies,163581,Expenses,Fund Total
7029,2025,Office of the City Auditor,General Fund,Transfers,-163358,Expenses,Fund Total
7030,2025,Office of the City Auditor,Interdepartmental Service Fund,Labor and Supply Offset,440589,Expenses,Other Governmental Funds
7031,2025,Office of the City Auditor,Storm Drainage Fund,Transfers,29404,Expenses,Enterprise Funds
7032,2025,Office of the City Auditor,Wastewater Fund,Transfers,32672,Expenses,Enterprise Funds
7033,2025,Office of the City Auditor,Water Fund,Transfers,101282,Expenses,Enterprise Funds
7034,2025,Police,General Fund,"Charges, Fees, and Services",8554619,Revenues,Fund Total
7035,2025,Police,General Fund,City Property,513119,Expenses,Fund Total
7036,2025,Police,General Fund,Employee Services,223415255,Expenses,Fund Total
7037,2025,Police,General Fund,"Fines, Forfeitures, and  Penalties",339122,Revenues,Fund Total
7038,2025,Police,General Fund,Intergovernmental,-959939,Revenues,Fund Total
7039,2025,Police,General Fund,Labor and Supply Offset,-3938211,Expenses,Fund Total
7040,2025,Police,General Fund,Licenses and Permits,1114700,Revenues,Fund Total
7041,2025,Police,General Fund,Multi-Year Operating Projects,5621943,Expenses,Fund Total
7042,2025,Police,General Fund,Other Services and Supplies,13195513,Expenses,Fund Total
7043,2025,Police,Measure U Fund,Employee Services,7415806,Expenses,Fund Total
7044,2025,Police,Measure U Fund,Multi-Year Operating Projects,3657065,Expenses,Fund Total
7045,2025,Police,Measure U Fund,Other Services and Supplies,402437,Expenses,Fund Total
7046,2025,Police,Risk Mgmt Fund,Labor and Supply Offset,573723,Expenses,Risk Management
7047,2025,Public Works,12th Street Maint Benefit Area,Labor and Supply Offset,19860,Expenses,Other Governmental Funds
7048,2025,Public Works,Citation I-5 Maintenance,Labor and Supply Offset,40000,Expenses,Other Governmental Funds
7049,2025,Public Works,Del Paso Nuevo Landscaping CFD,Labor and Supply Offset,24700,Expenses,Other Governmental Funds
7050,2025,Public Works,Fleet Management Fund,"Charges, Fees, and Services",10082745,Revenues,Internal Service Funds
7051,2025,Public Works,Fleet Management Fund,City Property,27927954,Expenses,Internal Service Funds
7052,2025,Public Works,Fleet Management Fund,Employee Services,9818210,Expenses,Internal Service Funds
7053,2025,Public Works,Fleet Management Fund,"Interest, Rents, and Concessions",897197,Revenues,Internal Service Funds
7054,2025,Public Works,Fleet Management Fund,Labor and Supply Offset,2625510,Expenses,Internal Service Funds
7055,2025,Public Works,Fleet Management Fund,Miscellaneous Revenue,56499623,Revenues,Internal Service Funds
7056,2025,Public Works,Fleet Management Fund,Multi-Year Operating Projects,115000,Expenses,Internal Service Funds
7057,2025,Public Works,Fleet Management Fund,Other Services and Supplies,25313741,Expenses,Internal Service Funds
7058,2025,Public Works,Gas Tax 2106,Intergovernmental,14038000,Revenues,Other Governmental Funds
7059,2025,Public Works,Gas Tax 2106,Labor and Supply Offset,6953893,Expenses,Other Governmental Funds
7060,2025,Public Works,Gas Tax 2106,Multi-Year Operating Projects,4626079,Expenses,Other Governmental Funds
7061,2025,Public Works,General Fund,"Charges, Fees, and Services",20411377,Revenues,Fund Total
7062,2025,Public Works,General Fund,City Property,464132,Expenses,Fund Total
7063,2025,Public Works,General Fund,Employee Services,60470218,Expenses,Fund Total
7064,2025,Public Works,General Fund,"Fines, Forfeitures, and  Penalties",7060750,Revenues,Fund Total
7065,2025,Public Works,General Fund,"Interest, Rents, and Concessions",260000,Revenues,Fund Total
7066,2025,Public Works,General Fund,Intergovernmental,286450,Revenues,Fund Total
7067,2025,Public Works,General Fund,Labor and Supply Offset,-78223054,Expenses,Fund Total
7068,2025,Public Works,General Fund,Licenses and Permits,206000,Revenues,Fund Total
7069,2025,Public Works,General Fund,Multi-Year Operating Projects,2286524,Expenses,Fund Total
7070,2025,Public Works,General Fund,Operating Transfers,5300000,Expenses,Fund Total
7071,2025,Public Works,General Fund,Other Services and Supplies,37513109,Expenses,Fund Total
7072,2025,Public Works,General Fund,Transfers,400655,Expenses,Fund Total
7073,2025,Public Works,Interdepartmental Service Fund,Labor and Supply Offset,1901512,Expenses,Other Governmental Funds
7074,2025,Public Works,Laguna Creek Maint Dist,Labor and Supply Offset,51580,Expenses,Other Governmental Funds
7075,2025,Public Works,Land Park,Labor and Supply Offset,32850,Expenses,Other Governmental Funds
7076,2025,Public Works,Landscaping and Lighting,Labor and Supply Offset,14824772,Expenses,Other Governmental Funds
7077,2025,Public Works,Landscaping and Lighting,Multi-Year Operating Projects,415000,Expenses,Other Governmental Funds
7078,2025,Public Works,Major Street Construction Fund,Taxes,2430000,Revenues,Other Governmental Funds
7079,2025,Public Works,Marina Fund,"Charges, Fees, and Services",301000,Revenues,Other Governmental Funds
7080,2025,Public Works,Marina Fund,Employee Services,576365,Expenses,Other Governmental Funds
7081,2025,Public Works,Marina Fund,Intergovernmental,25000,Revenues,Other Governmental Funds
7082,2025,Public Works,Marina Fund,Labor and Supply Offset,1500,Expenses,Other Governmental Funds
7083,2025,Public Works,Marina Fund,Licenses and Permits,1550075,Revenues,Other Governmental Funds
7084,2025,Public Works,Marina Fund,Other Services and Supplies,564182,Expenses,Other Governmental Funds
7085,2025,Public Works,Measure U Fund,Employee Services,655601,Expenses,Fund Total
7086,2025,Public Works,Measure U Fund,Labor and Supply Offset,-133015,Expenses,Fund Total
7087,2025,Public Works,Measure U Fund,Multi-Year Operating Projects,1270000,Expenses,Fund Total
7088,2025,Public Works,Measure U Fund,Other Services and Supplies,39905,Expenses,Fund Total
7089,2025,Public Works,N Nat Lndscp 99-02,Labor and Supply Offset,754301,Expenses,Other Governmental Funds
7090,2025,Public Works,N Natomas Lands CFD 3,Labor and Supply Offset,733750,Expenses,Other Governmental Funds
7091,2025,Public Works,Neighborhood Lighting Dist,Labor and Supply Offset,27510,Expenses,Other Governmental Funds
7092,2025,Public Works,Neighborhood Water Quality Dist,Labor and Supply Offset,63215,Expenses,Other Governmental Funds
7093,2025,Public Works,New Measure A Maintenance,Labor and Supply Offset,17829804,Expenses,Other Governmental Funds
7094,2025,Public Works,New Measure A Maintenance,Taxes,16470000,Revenues,Other Governmental Funds
7095,2025,Public Works,"NMA Safety, Streets, Ped, Bic",Multi-Year Operating Projects,5500,Expenses,Other Governmental Funds
7096,2025,Public Works,"NMA Safety, Streets, Ped, Bic",Taxes,2387000,Revenues,Other Governmental Funds
7097,2025,Public Works,NMA Traffic Control and Safety,Taxes,1619000,Revenues,Other Governmental Funds
7098,2025,Public Works,Northside Subdiv Maint Dist,Labor and Supply Offset,6500,Expenses,Other Governmental Funds
7099,2025,Public Works,Parkebridge CFD 2014-07,Labor and Supply Offset,88330,Expenses,Other Governmental Funds
7100,2025,Public Works,Parking Fund,"Charges, Fees, and Services",18052000,Revenues,Enterprise Funds
7101,2025,Public Works,Parking Fund,City Property,30097,Expenses,Enterprise Funds
7102,2025,Public Works,Parking Fund,Employee Services,5257763,Expenses,Enterprise Funds
7103,2025,Public Works,Parking Fund,"Interest, Rents, and Concessions",660000,Revenues,Enterprise Funds
7104,2025,Public Works,Parking Fund,Labor and Supply Offset,1793354,Expenses,Enterprise Funds
7105,2025,Public Works,Parking Fund,Miscellaneous Revenue,40000,Revenues,Enterprise Funds
7106,2025,Public Works,Parking Fund,Multi-Year Operating Projects,321000,Expenses,Enterprise Funds
7107,2025,Public Works,Parking Fund,Operating Transfers,-3507700,Expenses,Enterprise Funds
7108,2025,Public Works,Parking Fund,Other Services and Supplies,4778310,Expenses,Enterprise Funds
7109,2025,Public Works,Power Inn Rd Md 2003-01,Labor and Supply Offset,11732,Expenses,Other Governmental Funds
7110,2025,Public Works,Railyards Maint CFD No 2014-04,Labor and Supply Offset,226520,Expenses,Other Governmental Funds
7111,2025,Public Works,Recycling and Solid Waste,"Charges, Fees, and Services",96045326,Revenues,Enterprise Funds
7112,2025,Public Works,Recycling and Solid Waste,City Property,25000,Expenses,Enterprise Funds
7113,2025,Public Works,Recycling and Solid Waste,Employee Services,23110160,Expenses,Enterprise Funds
7114,2025,Public Works,Recycling and Solid Waste,Intergovernmental,32500,Revenues,Enterprise Funds
7115,2025,Public Works,Recycling and Solid Waste,Labor and Supply Offset,2570424,Expenses,Enterprise Funds
7116,2025,Public Works,Recycling and Solid Waste,Multi-Year Operating Projects,8873700,Expenses,Enterprise Funds
7117,2025,Public Works,Recycling and Solid Waste,Operating Transfers,10504200,Expenses,Enterprise Funds
7118,2025,Public Works,Recycling and Solid Waste,Other Services and Supplies,39798047,Expenses,Enterprise Funds
7119,2025,Public Works,Road Maint and Rehabilitation,Intergovernmental,13111000,Revenues,Other Governmental Funds
7120,2025,Public Works,Sac Services CFD 2018-05,Labor and Supply Offset,42758,Expenses,Other Governmental Funds
7121,2025,Public Works,SacMaintCFD2014-04 Annex Areas,Labor and Supply Offset,133713,Expenses,Other Governmental Funds
7122,2025,Public Works,SacMaintCFD2014-04 Area 01,Labor and Supply Offset,132750,Expenses,Other Governmental Funds
7123,2025,Public Works,Storm Drainage Fund,Labor and Supply Offset,461850,Expenses,Enterprise Funds
7124,2025,Public Works,Subdiv Lndscpng Maint Dist,Labor and Supply Offset,356147,Expenses,Other Governmental Funds
7125,2025,Public Works,Township 9 CFD No. 2012-06,Labor and Supply Offset,2000,Expenses,Other Governmental Funds
7126,2025,Public Works,Traffic Safety Fund,"Fines, Forfeitures, and  Penalties",300000,Revenues,Other Governmental Funds
7127,2025,Public Works,Traffic Safety Fund,Labor and Supply Offset,306882,Expenses,Other Governmental Funds
7128,2025,Public Works,Transportation Development,Taxes,590000,Revenues,Other Governmental Funds
7129,2025,Public Works,Transportation Development Impact Fee,Licenses and Permits,2000000,Revenues,Other Governmental Funds
7130,2025,Public Works,Tree Planting Replacement,Licenses and Permits,120000,Revenues,Other Governmental Funds
7131,2025,Public Works,Trench Cut Fee Fund,Licenses and Permits,25125,Revenues,Other Governmental Funds
7132,2025,Public Works,Village Garden N.-Mtce Dist #1,Labor and Supply Offset,34558,Expenses,Other Governmental Funds
7133,2025,Public Works,Wastewater Fund,Labor and Supply Offset,55850,Expenses,Enterprise Funds
7134,2025,Public Works,Water Fund,Labor and Supply Offset,55849,Expenses,Enterprise Funds
7135,2025,Public Works,Willowcreek Assmnt Md,Labor and Supply Offset,38000,Expenses,Other Governmental Funds
7136,2025,Public Works,Willowcreek Lndscpng CFD,Labor and Supply Offset,125000,Expenses,Other Governmental Funds
7137,2025,Utilities,Community Center Fund,Labor and Supply Offset,4983,Expenses,Enterprise Funds
7138,2025,Utilities,Cty/Cnty Office-Water Planning,City Property,5000,Expenses,Other Governmental Funds
7139,2025,Utilities,Cty/Cnty Office-Water Planning,Employee Services,1127372,Expenses,Other Governmental Funds
7140,2025,Utilities,Cty/Cnty Office-Water Planning,Intergovernmental,972074,Revenues,Other Governmental Funds
7141,2025,Utilities,Cty/Cnty Office-Water Planning,Labor and Supply Offset,-495286,Expenses,Other Governmental Funds
7142,2025,Utilities,Cty/Cnty Office-Water Planning,Operating Transfers,-383854,Expenses,Other Governmental Funds
7143,2025,Utilities,Cty/Cnty Office-Water Planning,Other Services and Supplies,231281,Expenses,Other Governmental Funds
7144,2025,Utilities,Cty/Cnty Office-Water Planning,Transfers,-100000,Expenses,Other Governmental Funds
7145,2025,Utilities,General Fund,Labor and Supply Offset,60410,Expenses,Fund Total
7146,2025,Utilities,General Fund,Transfers,19000,Expenses,Fund Total
7147,2025,Utilities,Golf Fund,Labor and Supply Offset,8550,Expenses,Other Governmental Funds
7148,2025,Utilities,Habitat Management Element,Intergovernmental,553011,Revenues,Other Governmental Funds
7149,2025,Utilities,Habitat Management Element,Labor and Supply Offset,495286,Expenses,Other Governmental Funds
7150,2025,Utilities,Habitat Management Element,Operating Transfers,-266505,Expenses,Other Governmental Funds
7151,2025,Utilities,Habitat Management Element,Other Services and Supplies,445000,Expenses,Other Governmental Funds
7152,2025,Utilities,Landscaping and Lighting,Labor and Supply Offset,98000,Expenses,Other Governmental Funds
7153,2025,Utilities,N Natomas Lands CFD 3,Labor and Supply Offset,300000,Expenses,Other Governmental Funds
7154,2025,Utilities,Neighborhood Water Quality Dist,Labor and Supply Offset,3000,Expenses,Other Governmental Funds
7155,2025,Utilities,Northside Subdiv Maint Dist,Labor and Supply Offset,8000,Expenses,Other Governmental Funds
7156,2025,Utilities,Parkebridge CFD 2014-07,Labor and Supply Offset,10000,Expenses,Other Governmental Funds
7157,2025,Utilities,Parking Fund,Labor and Supply Offset,1359,Expenses,Enterprise Funds
7158,2025,Utilities,Recycling and Solid Waste,Labor and Supply Offset,3465053,Expenses,Enterprise Funds
7159,2025,Utilities,SacMaintCFD2014-04 Annex Areas,Labor and Supply Offset,36500,Expenses,Other Governmental Funds
7160,2025,Utilities,SacMaintCFD2014-04 Area 01,Labor and Supply Offset,298120,Expenses,Other Governmental Funds
